IDventa,Numero de Ticket,Nombre cliente,IDVendedor
66,1065,Natividad Marisol Alcalde Rius,1
67,1066,Vicenta del Escribano,2
68,1067,Marcio Edu Heredia Rosselló,9
69,1068,Yaiza Bárcena Esteve,6
70,1069,Aura Vargas Canales,1
71,1070,Victor Manuel Vega Palmer,7
72,1071,Albert Prat,5
73,1072,Mamen García-Bravo,8
74,1073,Florentina Tena Jordá,2
75,1074,Samu Ródenas Sebastián,8
76,1075,Dani Morata,10
77,1076,Enrique Benavides-Quevedo,8
78,1077,Marcos Gibert Nevado,7
79,1078,Aarón Valencia,1
80,1079,Alba Boix Rodrigo,6
81,1080,Jose Francisco Peral Blasco,7
82,1081,Celestino Sandoval Vizcaíno,10
83,1082,Loida Casares Almazán,3
84,1083,Atilio Abascal Aranda,8
85,1084,Ezequiel Cuesta,5
86,1085,Martín Ferrández Royo,5
87,1086,Felicia Parejo-Álvarez,4
88,1087,Sol del Cano,10
89,1088,Nilo Gracia Antón,5
90,1089,Marina Tamarit Losa,5
91,1090,Oriana Morera-Mendizábal,4
92,1091,Joel Saldaña Salvador,4
93,1092,Salvador Mercader Muñoz,3
94,1093,Ligia Abellán,10
95,1094,Plácido Amigó Cerezo,4
96,1095,Reyes Niño Cervera,2
97,1096,Edmundo Montero Anaya,6
98,1097,Rebeca Morcillo Mascaró,4
99,1098,Sabas Sanz,6
100,1099,Corona Cisneros Martinez,3
101,1100,Mario Blas Bustamante Macias,6
102,1101,Graciana Gual-Benavides,6
103,1102,Olalla Palmer Zabaleta,10
104,1103,Roberta Casal,10
105,1104,Íngrid Asenjo Catalá,3
106,1105,Maura Bravo Sierra,7
107,1106,Pili Arcos,4
108,1107,Fito del Valero,4
109,1108,Laura Murillo Sedano,8
110,1109,Alberto Delgado Guillen,8
111,1110,Tatiana Ferrero-Higueras,4
112,1111,Natalio Calvet-Aranda,10
113,1112,Óscar Cañete Tena,3
114,1113,Encarnación Chaparro-Botella,5
115,1114,Luciano Jacobo Canals Tejada,7
116,1115,Luis Ángel Pla Torrens,4
117,1116,Angélica Hervás Perelló,4
118,1117,Melchor Cárdenas Guerrero,5
119,1118,Adolfo de Matas,10
120,1119,Darío Requena Ferrando,6
121,1120,Amalia Vilalta Figuerola,2
122,1121,Marta Palma Arnaiz,8
123,1122,Lorenza Santamaría,2
124,1123,Cloe Rico,4
125,1124,Aureliano Sanjuan Marín,3
126,1125,Jerónimo Andres Saavedra,4
127,1126,Fulgencio Mesa Benavent,7
128,1127,Yaiza Iriarte Somoza,5
129,1128,Alicia de Barco,5
130,1129,Federico de Ruano,8
131,1130,Begoña Guzman Losa,2
132,1131,Augusto Pablo Briones,4
133,1132,Anselma Laguna Cabo,3
134,1133,Natividad Estrella Nogués Lillo,6
135,1134,Andrés Cabo Céspedes,4
136,1135,Jose de Blanca,3
137,1136,Valerio Pagès Segarra,4
138,1137,Armando Campos,6
139,1138,Jose Miguel Mora Aguiló,2
140,1139,Basilio Contreras Luque,9
141,1140,Mónica Llanos Lara,4
142,1141,Candelaria Yaiza Palmer Castellanos,10
143,1142,Lidia Bárcena Prada,3
144,1143,Domingo Salazar Barrena,10
145,1144,Petrona Redondo Carlos,9
146,1145,Estefanía Conesa Amigó,2
147,1146,Carla Castrillo Castro,7
148,1147,Cipriano del Anglada,5
149,1148,María Morante Arévalo,10
150,1149,Imelda Eliana Sanabria Pavón,10
151,1150,Herminio Sala Badía,7
152,1151,Ovidio Huerta Ureña,2
153,1152,Alexandra Baquero Montaña,10
154,1153,Jimena Soto Sales,9
155,1154,Tatiana Máxima Roman Borja,6
156,1155,Nilo Vargas,4
157,1156,Begoña Uría-Jiménez,5
158,1157,Ángela Cases Amor,7
159,1158,Eugenia Anaya-Escobar,7
160,1159,Teresita Pozo Guardiola,8
161,1160,Jaime Ruperto Alberola Quero,1
162,1161,Fabiana Piñol Amor,1
163,1162,Teodora Quesada,2
164,1163,Ana Sofía de Piña,7
165,1164,Eulalia Alejandra Barberá Olivera,1
166,1165,Marisa Andreu-Almagro,6
167,1166,Julián José Antonio García Lago,5
168,1167,Juan Bautista Nebot Barrena,7
169,1168,Felipe Elías,3
170,1169,Edgardo Andreu,5
171,1170,Isabela Arce Salamanca,3
172,1171,Leoncio Higueras Corbacho,5
173,1172,Jovita Guardia Aroca,8
174,1173,Evelia del Campos,7
175,1174,Bruno Plana Gisbert,2
176,1175,Haroldo Macias,6
177,1176,Emilio Pujadas Garriga,6
178,1177,Eligio Alegria Guerrero,8
179,1178,Esperanza Requena-Sacristán,7
180,1179,Máximo Capdevila Garrido,5
181,1180,Graciela Robledo Carmona,6
182,1181,Rosendo Eustaquio Carranza Alfonso,6
183,1182,Roxana Rebeca Hernández Contreras,8
184,1183,Victor Alberto Acosta,2
185,1184,Juan Luis Ferrera-Alba,8
186,1185,Nazaret Antón Santos,4
187,1186,Ángel Marín-Mur,4
188,1187,Susanita del Ricart,3
189,1188,Palmira Canals,4
190,1189,Mariana de Barragán,6
191,1190,Ale Diez Díaz,4
192,1191,Iker Meléndez Leon,2
193,1192,Joan de Bou,2
194,1193,Rufino Pavón-Acevedo,5
195,1194,Lucio Girón Exposito,6
196,1195,Cruz Acuña Pina,9
197,1196,Cirino de Fuster,1
198,1197,Ale Verdugo Díaz,8
199,1198,Julia Gisbert Meléndez,8
200,1199,Ángel de Valbuena,7
201,1200,Plinio Garay Lozano,3
202,1201,Perla Ainara Vara Riera,4
203,1202,Susanita Ojeda,9
204,1203,Albert Guardia Blanco,4
205,1204,Gabriela Pelayo Expósito,8
206,1205,Cristian Duran Cañas,1
207,1206,Caridad Araceli Planas Ibañez,10
208,1207,Ricardo Navas Lerma,5
209,1208,Amando del Sala,6
210,1209,Angelina Granados Esparza,5
211,1210,Laura Ballester Cañizares,10
212,1211,Sabas Alemany Pera,10
213,1212,Alonso Adadia Mur,9
214,1213,Úrsula Emilia Ferrando Maestre,7
215,1214,Blas Monreal Escamilla,9
216,1215,Alejandra Vara Guardia,10
217,1216,Diana Santiago Aguilera,4
218,1217,Che Sanmiguel Carreño,6
219,1218,Eulalia Bilbao Pacheco,2
220,1219,Adriana Alcalá Plana,3
221,1220,Clarisa Millán Cobo,10
222,1221,Anacleto Torrijos,1
223,1222,Ovidio Samper Gabaldón,2
224,1223,Rosario Egea,2
225,1224,Pepe Torrent Rocha,10
226,1225,Celia Barón,9
227,1226,Matías Vega Blazquez,4
228,1227,Olegario Castell,10
229,1228,Calisto Tomé,4
230,1229,Isidora Campo Arco,7
231,1230,Lorenza Múgica Granados,10
232,1231,Dimas Seve Donoso Huguet,5
233,1232,Abril Portillo Vargas,9
234,1233,Paloma Marqués Casanova,9
235,1234,Jennifer Cases-Bosch,8
236,1235,Hector Ortuño Gallego,10
237,1236,Dionisio Villanueva Mas,4
238,1237,Néstor Cuadrado Aguirre,7
239,1238,Mauricio Cerro,1
240,1239,Calista Escamilla Berrocal,5
241,1240,Paula Ocaña Pacheco,8
242,1241,Alcides Lucas Lasa Piñeiro,2
243,1242,Cosme Adán Sanmiguel,3
244,1243,Cipriano Campoy Reig,6
245,1244,Apolinar Bello Castejón,9
246,1245,Manu Zabala Almeida,5
247,1246,Hipólito del Alfonso,5
248,1247,Javi Teruel,4
249,1248,Pía Quintero Pellicer,1
250,1249,Prudencio Rodrigo Córdoba,8
251,1250,Flora Casares Sancho,3
252,1251,Marcial del Moll,2
253,1252,Ibán Llopis-Rosado,6
254,1253,Morena Alvarado Verdú,10
255,1254,Perlita Adán Clemente,8
256,1255,Julián Cañete Robledo,8
257,1256,Adelardo Salmerón Vidal,3
258,1257,Rosalva Galindo Mayol,1
259,1258,Fidel del Atienza,1
260,1259,María Luisa Manzano Andrés,9
261,1260,Obdulia Aguilera-Castelló,1
262,1261,María José Zorrilla-Benavent,6
263,1262,Armando de Puga,1
264,1263,Berta del Rincón,8
265,1264,Aristides Barriga Cobos,10
266,1265,Ascensión Fabregat Izquierdo,2
267,1266,Jeremías Osuna Coll,1
268,1267,Teo de Sandoval,1
269,1268,Olimpia Roma-Perelló,1
270,1269,Nélida Bejarano,7
271,1270,Yéssica Yáñez Azorin,10
272,1271,Sosimo de Fuentes,9
273,1272,Hilda Pomares Bello,3
274,1273,Severo Ponce Bauzà,2
275,1274,Anita Mendez,8
276,1275,Socorro Reig Checa,5
277,1276,Priscila Bernat Villaverde,4
278,1277,Flavia Diego Gálvez,10
279,1278,Carina Somoza Echevarría,6
280,1279,Amancio Sobrino Gomis,1
281,1280,Victor Leon Lloret,10
282,1281,Edu Rivero Torre,4
283,1282,Severino Robles Valencia,10
284,1283,Esperanza Vidal Capdevila,7
285,1284,Pánfilo Ortega-Uría,8
286,1285,María Carmen Torrent Agullo,2
287,1286,Jose Carlos Andreu Pozuelo,7
288,1287,Cristian Zaragoza Rodríguez,4
289,1288,Eduardo Gonzalo Muñoz,6
290,1289,Demetrio Jurado España,1
291,1290,Imelda Agustín Cervantes,10
292,1291,Nazario Julián-Pedrosa,5
293,1292,Jerónimo Huerta Bastida,4
294,1293,Yéssica Luján Llopis,10
295,1294,Calixta Larrañaga Calvo,9
296,1295,Juan Pablo Giner Peñas,9
297,1296,Patricia Hervia Madrigal,8
298,1297,Primitivo Perelló Gelabert,2
299,1298,Odalis Rodríguez,5
300,1299,Marcial de Gallardo,5
301,1300,Encarna Serafina Román Sola,10
302,1301,Lorenzo Valencia-Casado,2
303,1302,Borja Carrillo Bello,7
304,1303,Fermín del Uriarte,7
305,1304,Silvio Pla Llorens,9
306,1305,Elba Solera Llabrés,9
307,1306,Atilio Sales Roselló,10
308,1307,Felix Luján Valle,1
309,1308,Filomena Berenguer Blasco,6
310,1309,Abraham Valdés Nadal,8
311,1310,Yéssica Recio Trujillo,8
312,1311,Sara Arana Caparrós,10
313,1312,Zacarías de Manjón,2
314,1313,Petrona Gonzalo-Berenguer,1
315,1314,Abigaíl Viana Guijarro,4
316,1315,Severiano Jáuregui Mayoral,5
317,1316,Vera Ferrándiz Morera,8
318,1317,Desiderio del Portillo,1
319,1318,Isa Nuñez Querol,7
320,1319,Cristina Paca Cerdá Portillo,2
321,1320,José Antonio de Blanch,7
322,1321,Bienvenida Arias Heredia,1
323,1322,Loreto Andres Luján,3
324,1323,Gertrudis Almansa Merino,9
325,1324,Vidal Plana Abascal,4
326,1325,Mariana del Blázquez,7
327,1326,Alba Fernandez-Pellicer,5
328,1327,Herberto Bernardino Español Valderrama,4
329,1328,Ángeles Ligia Molins Pardo,8
330,1329,Jacinto Domínguez Gomila,5
331,1330,Toño Baeza Arranz,3
332,1331,Corona Calzada Barrios,5
333,1332,Mercedes Aragonés-Sanchez,10
334,1333,Miguela Álvarez-Gascón,1
335,1334,Galo Marin Pinilla,5
336,1335,Pepito Llobet Nadal,9
337,1336,Ascensión Arregui Cano,10
338,1337,Julie Cuervo Machado,2
339,1338,Aurelio Antúnez Bastida,10
340,1339,Rosaura Padilla Barrera,8
341,1340,Elvira Segura,7
342,1341,Gloria Bayona-Gimeno,3
343,1342,Maite Céspedes-Solé,5
344,1343,Feliciano Ferrero Carreño,2
345,1344,Ana Belén Perea,8
346,1345,Eloy de Sobrino,4
347,1346,Adrián Castell,2
348,1347,Zaira de Cerro,9
349,1348,Valerio Pol Oller,10
350,1349,Ciríaco Gibert Bou,6
351,1350,Inmaculada Elías Saavedra,5
352,1351,Eli Peñas Montaña,3
353,1352,Epifanio del Valle,9
354,1353,Beatriz Nadia Pol Olivera,7
355,1354,Julieta Narváez,3
356,1355,Marita Arteaga,7
357,1356,Lourdes Codina Capdevila,10
358,1357,Iris Tejera Perales,1
359,1358,María Fernanda Cabanillas Gutiérrez,10
360,1359,Manolo Jordán Pedraza,3
361,1360,Octavio Ibañez,6
362,1361,Silvestre Taboada-Corbacho,5
363,1362,Luciano Palomares Lasa,4
364,1363,Paco Lloret León,4
365,1364,Marta Villena Castrillo,5
366,1365,Manuel Soler Ramón,2
367,1366,Eulalia Blanes Mendizábal,7
368,1367,Heliodoro Crespi Giralt,1
369,1368,Primitivo Molina,7
370,1369,Timoteo Sarmiento Somoza,5
371,1370,Octavio Egea-Exposito,9
372,1371,Bruno Iniesta Gámez,9
373,1372,Griselda Font Suárez,3
374,1373,Gonzalo Iker Heras Vizcaíno,1
375,1374,Jessica Albina Castellanos Gual,1
376,1375,Isa Aguirre Parra,3
377,1376,Tatiana Artigas-Gisbert,9
378,1377,Teo Vicente Villena,8
379,1378,Amaro del Gomila,3
380,1379,Florina Campos Pol,2
381,1380,Fabiola Alfonso Echeverría,10
382,1381,Emelina Vallejo Sáez,8
383,1382,Ligia Palomares Asensio,3
384,1383,Tatiana Tolosa Calvo,10
385,1384,Nydia Tamarit Torres,8
386,1385,Francisco Jose Sosa Lozano,5
387,1386,Luis Ángel Múñiz Villalonga,2
388,1387,Ariel Roman Esteve,3
389,1388,Aitana Valcárcel Molins,3
390,1389,Lilia Cañete Bernad,5
391,1390,Jose Carlos Querol Ramirez,4
392,1391,Ignacio Castro Barroso,7
393,1392,Agustín Royo Abad,9
394,1393,Paola Marín Ortega,9
395,1394,Manuelita del Blázquez,1
396,1395,Alfredo Valerio Arnaiz Canet,4
397,1396,Íñigo Muñoz Conde,2
398,1397,Abril de Mascaró,8
399,1398,Juan Carlos Águila Cueto,5
400,1399,Salud Morante Nebot,2
401,1400,Zacarías Manu Romero Hernandez,10
402,1401,Ofelia Rosales Guardia,5
403,1402,Pánfilo del Alemán,3
404,1403,Jaime Campillo,8
405,1404,Anunciación Peláez Benítez,1
406,1405,Florencio Blazquez Jaén,8
407,1406,Reina Oliva,4
408,1407,Lourdes Araujo-Doménech,6
409,1408,Eugenia Sonia Roldan Saavedra,2
410,1409,María Cristina Montes Llorente,3
411,1410,Dani Hierro Sáenz,7
412,1411,Rolando Mayol-Tena,5
413,1412,Maristela Feliu Andreu,6
414,1413,Armida Cuéllar Calleja,4
415,1414,Lina Quintanilla Santana,8
416,1415,Noa Acuña Alvarez,1
417,1416,Mirta Calderon-Esteve,2
418,1417,Delia del Echeverría,5
419,1418,Zaida Valencia Laguna,3
420,1419,Mónica Giralt Sánchez,5
421,1420,Moisés Tejada Duarte,9
422,1421,Albert Montoya Gallego,2
423,1422,Valero Sebastián Lopez,6
424,1423,Benito Tiburcio Ortega Rosselló,1
425,1424,María Del Carmen Valenzuela Ferreras,10
426,1425,Sandra Martin-Corral,5
427,1426,Alexandra Verdugo Girón,5
428,1427,Tomás Simó Vargas,8
429,1428,Pepe Azcona Santiago,1
430,1429,Candelas Nerea Cabeza Palacio,2
431,1430,Ana Sofía Amarilis Pineda Aguirre,4
432,1431,Chucho Pedraza Novoa,3
433,1432,Florencia de Olivé,5
434,1433,Pelayo Corbacho Sans,4
435,1434,Simón de Duarte,3
436,1435,Javi Soler-Solís,3
437,1436,Guadalupe Pozuelo Marcos,9
438,1437,Jaime Aguado Rocha,6
439,1438,Rita Farré Borrell,7
440,1439,Salomé Acosta Torrecilla,3
441,1440,Cornelio Agudo Llano,1
442,1441,Rebeca Ruano Martín,5
443,1442,Visitación Peñas Llanos,2
444,1443,Mariana Prats Llanos,5
445,1444,Rolando Pina Peñalver,8
446,1445,Maricela Carrasco Ramírez,8
447,1446,Eli Izquierdo Heredia,1
448,1447,Manuel Pozo Cerezo,5
449,1448,Leocadio Pera Cáceres,9
450,1449,León Donaire,2
451,1450,Teófila Galán,8
452,1451,Carlota Goicoechea,6
453,1452,Jose Angel Guardia Roura,4
454,1453,Desiderio Vives,3
455,1454,Sebastián Mateos Bernat,5
456,1455,Fernando Cuesta Villaverde,7
457,1456,Nereida Castelló Guijarro,2
458,1457,Lina Alcázar Donoso,2
459,1458,José María Acero,10
460,1459,María Manuela Almeida Segovia,10
461,1460,Baudelio Soria Mur,2
462,1461,Domingo Valera Navarrete,1
463,1462,Anabel Carrión Ferrando,10
464,1463,Isabela Lucas-Narváez,4
465,1464,María Pilar Rius Ropero,8
466,1465,César Ojeda Bartolomé,6
467,1466,Raúl Lerma-Colomer,7
468,1467,Fortunato Alcántara,9
469,1468,Bienvenida Llanos Bertrán,3
470,1469,Marcela Pazos Múgica,5
471,1470,Basilio Patiño Martorell,3
472,1471,Eli Ortega-Almansa,3
473,1472,Maximiano Estevez Carbajo,2
474,1473,Jose Angel Serrano Monreal,4
475,1474,Esteban Sales-Cid,2
476,1475,Florencia Uribe Morell,8
477,1476,Rico Luz Fajardo,7
478,1477,Tadeo Ballesteros Serna,5
479,1478,Isaías Elías Perez,5
480,1479,Otilia del Camacho,7
481,1480,Leyre Ripoll,7
482,1481,Mirta Nogués Tello,1
483,1482,África Ferrero Donoso,2
484,1483,Esther del Villalonga,10
485,1484,Paco Aguirre,2
486,1485,Xavier Vergara,6
487,1486,Mario de Rivera,1
488,1487,Adora Reyes Ortega Hernández,7
489,1488,Lina Vila-Quirós,7
490,1489,Berta Llopis Murcia,4
491,1490,Isaac Bilbao Carrera,10
492,1491,Carla Calvet Ayuso,1
493,1492,Flora Cobo,1
494,1493,Ruperta Armengol-Simó,1
495,1494,Jose Salgado Gallardo,5
496,1495,Toribio Losada López,8
497,1496,Calista Ferrán Cuenca,9
498,1497,Nazario Múñiz Carreras,8
499,1498,Isaura Palmer Córdoba,10
500,1499,Angelina Domínguez Fernandez,6
501,1500,Clara Florentina Sáenz Morera,4
502,1501,Marc Lladó Olivera,8
503,1502,Fidel Armando Guerra Borja,2
504,1503,Quirino Fernandez Canales,9
505,1504,Norberto Aragón Oliva,1
506,1505,Amalia Palomar Garcés,5
507,1506,Vasco Cifuentes Rivera,7
508,1507,Dorotea Lopez-Gual,5
509,1508,Luís Pinedo-Perelló,8
510,1509,Chita Andrés-Sierra,2
511,1510,María Cristina Manjón Duarte,7
512,1511,Rebeca Camacho Prieto,2
513,1512,Matilde Sarita Ibañez Maestre,1
514,1513,Irene Alfaro-Hernández,10
515,1514,Amada Ferreras Lladó,5
516,1515,Dafne Ariño-Quintana,1
517,1516,Álvaro Aguado Tapia,9
518,1517,Diana Ortiz Bautista,3
519,1518,Cándido Mármol Expósito,2
520,1519,Nieves Puga Quero,10
521,1520,Iker Beltran Puga,1
522,1521,Chuy Lucena Lasa,7
523,1522,Jenny Aránzazu Lumbreras Recio,3
524,1523,Felisa Patricia Caro Alemany,7
525,1524,Pelayo del Mena,7
526,1525,Sebastián Osvaldo Salvà Abellán,10
527,1526,Rosalinda Mur,7
528,1527,Nilo Muñoz,3
529,1528,Fabio Andrade Prat,3
530,1529,Baldomero Osuna Agullo,6
531,1530,Pastor Barrio-Adán,3
532,1531,Borja de Fabra,5
533,1532,Borja del Bas,9
534,1533,Reyna Maestre Muro,5
535,1534,Chus del Gutiérrez,5
536,1535,Custodia Bravo-Tapia,1
537,1536,Mariana Berrocal Larrañaga,4
538,1537,Albina Valencia Murillo,10
539,1538,Leandro Iglesia Saura,2
540,1539,Jovita Uriarte Arnaiz,9
541,1540,Apolonia Anna Bárcena Coloma,6
542,1541,Amador Melchor Porras Busquets,4
543,1542,Valeria Soler-Tamarit,9
544,1543,Yaiza Jaén Piña,8
545,1544,Genoveva de Alvarez,3
546,1545,Rebeca Tomé Moraleda,10
547,1546,Ciro Morcillo-Gárate,10
548,1547,Alicia Almansa Francisco,7
549,1548,Marc Alcázar Daza,10
550,1549,Juanito Carmona Cañizares,5
551,1550,Heraclio Flores Ibarra,3
552,1551,Sigfrido Rico Ángel,1
553,1552,Antonio Pastor Carretero Ariño,7
554,1553,Hortensia Miralles Naranjo,7
555,1554,Remedios Jessica Espejo Feliu,7
556,1555,Loida Madrigal Pont,4
557,1556,Melchor Catalá Cabrera,9
558,1557,Gervasio Saavedra-Casado,4
559,1558,Álvaro Cabrero-Carretero,4
560,1559,Ciriaco Acero Escudero,8
561,1560,Benigno Tejada,2
562,1561,Felipe Donato Rebollo Sánchez,1
563,1562,Reyes Contreras Ferrández,7
564,1563,Rufino Fuertes Font,8
565,1564,Lupita Hoz-Larrea,4
566,1565,Elisabet Saldaña Lobato,4
567,1566,Ramón Macario Guitart Sáez,7
568,1567,Norberto Alvarez Ribera,7
569,1568,Toribio Luque,3
570,1569,Damián Riera Valenzuela,2
571,1570,Octavio Nogués Castillo,8
572,1571,Pastor de Báez,7
573,1572,Alberto Roman Guzmán,10
574,1573,Edelmira Orozco Soriano,7
575,1574,Genoveva Oriana Saldaña Guitart,1
576,1575,Agustín Sáenz Asensio,9
577,1576,Carolina Navarrete Otero,9
578,1577,Felisa Galán Pinedo,1
579,1578,Nicolasa Exposito Cordero,10
580,1579,José María Emilio Carrasco Olmedo,5
581,1580,Alejandro Cuadrado-Sureda,8
582,1581,Yésica Álvarez-Pina,1
583,1582,Crescencia Valverde Carmona,5
584,1583,Silvio Eleuterio Lloret Castilla,1
585,1584,Chuy Castilla Melero,2
586,1585,Dafne Miró Roma,5
587,1586,Eligio Navas-Artigas,7
588,1587,Albino Zapata,4
589,1588,Erasmo Padilla Iglesias,6
590,1589,Jenaro Amaya Guardiola,10
591,1590,Graciela del Lasa,2
592,1591,Zacarías Rolando Pons Marin,8
593,1592,Camilo Robles,7
594,1593,Olivia Figueroa Gras,1
595,1594,Odalys García Reig,6
596,1595,Elodia Cantero,3
597,1596,Albano Régulo Torres Caballero,5
598,1597,Concha Torrijos Sosa,7
599,1598,Osvaldo de Cortina,3
600,1599,Ismael Bernardo Pou Olmedo,10
601,1600,Abilio Pomares,3
602,1601,Begoña Esparza Dominguez,6
603,1602,Loreto Girona Rovira,10
604,1603,Sonia Ale Mosquera García,6
605,1604,Darío Estevez Escobar,5
606,1605,Hilda Castro Suárez,10
607,1606,Loida Villar-Bilbao,7
608,1607,Albino Daza,10
609,1608,Paca Batalla-Meléndez,9
610,1609,Moreno Lázaro Arenas Fábregas,8
611,1610,Clímaco César Feijoo Barragán,8
612,1611,Carmen del Ibáñez,3
613,1612,Gil del Calderón,10
614,1613,Toribio Fabra Martínez,6
615,1614,Jose Manuel de Vélez,6
616,1615,Valentín Roldán,6
617,1616,Silvio de Peralta,6
618,1617,Íngrid del Campo,8
619,1618,Silvia Llabrés-Almansa,7
620,1619,Jorge Muñoz,10
621,1620,América Donoso-Fiol,7
622,1621,Amador Giralt Hernando,9
623,1622,Rosario Mariño Vicente,1
624,1623,Ariadna Barral Leal,9
625,1624,Josefa Vargas Cepeda,3
626,1625,Clímaco Cánovas Mosquera,5
627,1626,Rosalía de Canals,5
628,1627,Calista Mayo Murcia,9
629,1628,Juan Antonio Daza Tolosa,2
630,1629,Virginia de Agullo,1
631,1630,Zaira Conesa Ríos,3
632,1631,Ignacia Parra-Valle,6
633,1632,Cristian de Casas,8
634,1633,Adrián Torrijos Adán,5
635,1634,Leonel Gustavo Corominas Diaz,9
636,1635,Victor Julio César Prada Blazquez,5
637,1636,Mauricio Durán Murcia,8
638,1637,Leandro Pino Aliaga,5
639,1638,Andrés Felipe Cabrero Bernal,2
640,1639,Crescencia Torralba Taboada,2
641,1640,Florina Garrido,1
642,1641,Venceslás Zabala Isern,10
643,1642,Salvador Cifuentes-Guitart,4
644,1643,Miriam Cámara,1
645,1644,Agustina Gámez Campos,7
646,1645,Constanza Roura Palomo,5
647,1646,Marisol Solís Rodríguez,4
648,1647,América Palomares Andres,9
649,1648,Noelia Garrido Plana,2
650,1649,Américo Soria Gabaldón,5
651,1650,Plinio Puente Pombo,4
652,1651,Margarita Prado-Molins,7
653,1652,Victoria Costa Donoso,2
654,1653,Jaime Sans Vergara,6
655,1654,Agapito Eutimio Duran Benavent,8
656,1655,Francisco Jose Talavera Esparza,10
657,1656,Sonia Seco,7
658,1657,Jenaro del Collado,1
659,1658,Segismundo Cañizares Miranda,4
660,1659,Claudia Fernanda Quesada Pedro,8
661,1660,Leocadio Néstor Bautista Berenguer,8
662,1661,Victor Giralt Borja,9
663,1662,Dafne Batalla Pallarès,10
664,1663,Nicolás de Piñeiro,5
665,1664,Ignacia Badía-Huerta,1
666,1665,Luisina Baró Barrios,2
667,1666,Artemio Oliva,9
668,1667,Candelaria del Guerrero,6
669,1668,Asdrubal Bernal Mateu,2
670,1669,Marcela Agustí Egea,2
671,1670,Santos Cornejo-Lerma,8
672,1671,Eligio Roda Mora,3
673,1672,Úrsula Cid-Rosales,3
674,1673,Galo Marquez Alcalde,6
675,1674,Adelia del Narváez,7
676,1675,Valentín Vito Vall Alemany,2
677,1676,Roldán Reynaldo Borrás Daza,6
678,1677,Azeneth Egea Batlle,7
679,1678,Juan Bautista Carmona Vilanova,10
680,1679,Venceslás Mendizábal,7
681,1680,Armando Quiroga Cámara,5
682,1681,Nando Valverde Rocha,2
683,1682,Mireia de Lluch,8
684,1683,Bernabé Guillén Piquer,10
685,1684,Víctor Llanos Rey,9
686,1685,Manolo Cuenca Bertrán,5
687,1686,Vasco Sanabria Vidal,3
688,1687,Cayetano Agustí Duarte,10
689,1688,Guadalupe Raya Vallejo,5
690,1689,Julia Lladó Aranda,9
691,1690,Luís Pascual Iniesta Valera,2
692,1691,Bernardo de Almansa,8
693,1692,Liliana Losa Echevarría,9
694,1693,Manu Ramos Donaire,3
